Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
After Effects: Character Animation Techniques,"Discover how easy it is to bring your characters to life in Adobe After Effects. Join Angie Taylor as she shares tips and tricks for animating within this powerful motion graphics and compositing application. Learn how to set up anchor points, link the different parts of your characters together in a parental hierarchy, and create a simple character rigging system. Get tips for using the Puppet tool, including how to create a sense of depth in your animations and fix glitches with Starch pins. Plus, discover how to link master properties to your Puppet tool rig; leverage RubberHose, a rigging script for After Effects; and easily automate a lip-sync animation.",Course,2021-10-16 03:32 UTC,N/A,false,N/A,
Interactive Animations with CSS and JavaScript,"In a world without Flash, mixed-mode animation is a powerful tool for web designers. This course shows how to choose the correct mix of HTML, JavaScript, CSS, and other assets to deliver polished web-based animations that look great on everything from flat-screen televisions to smartphones. Instructor W. Scott Means focuses on how CSS animations, JavaScript, and SVG can be used to produce sophisticated effects while keeping code complexity to a minimum. As he steps through how to build a dynamic presentation, he covers storyboarding, HTML5 custom elements, working with SVG, DOM manipulation, and more.",Course,2021-04-23 04:54 UTC,N/A,false,N/A,
Raspberry Pi Essential Training,"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2022-03-14 17:57 UTC,N/A,false,N/A,
Learning Penetration Testing (2016),"You've done everything you can to logically secure your systems, along with layering in user education and providing physical security. However, the only way to <em>know</em> if your defenses will hold is to test them. This course looks at one of the most important skills of any IT security professional: penetration testing. Penetration testing is the process to check if a computer, system, network, or web application has any vulnerabilities. Cybersecurity expert Lisa Bock reviews the steps involved in performing a worthwhile penetration test, including auditing systems, listing and prioritizing vulnerabilities, and mapping out attack points a hacker might target. She also defines the various types of ""pen"" tests—such as black, grey, and white box; announced vs. unannounced; and automated vs. manual testing—and the techniques and blueprints a pen tester should use to test everything from Wi-Fi to VoIP. Finally, she discusses how to choose and work with an outsourced pen-testing organization, which can bring a valuable outsider's perspective to your IT security efforts.",Course,2021-10-01 04:30 UTC,N/A,true,N/A,
JavaScript for Web Designers,"Web designers can improve their skill sets and job prospects by getting comfortable with JavaScript. It's the only scripting language for client-side programming—for doing things that would be impossible with HTML and CSS alone—and is increasingly popular for server-side programming, too. Learn some basic, real-world uses for JavaScript in this course with Joe Chellman. Find out how to write JavaScript in the browser and in a code editor, and then put it straight to use in a store checkout page: manipulating forms and form fields, reading data, checking input for errors, and displaying the results of shipping calculations. Plus, learn how to use JavaScript time and date functions to create features like clocks, and add interactive content through APIs like Bing Maps.",Course,N/A,N/A,true,N/A,
Learning Node.js,"Node.js is a platform built on the Chrome JavaScript runtime that can help you build fast, scalable network applications. Node.js uses an event-driven, non-blocking I/O model that makes it lightweight and efficient—perfect for data-intensive real-time applications that run across distributed devices. In this course, learn the basics of Node.js, and discover how to build a simple application. Alexander Zanfir goes into topics such as npm, reading and writing files, and Node.js frameworks. He covers Node.js features, such as async/await, and dives into popular web development concepts. Alexander also walks through how to build a demo chat app from start to finish.",Course,2021-11-22 15:09 UTC,N/A,true,N/A,
Hands-On Data Science: 4 Services Analysis in Spark,"Are you considering working in data science, and would you like to try out some popular tools first? This course focuses on what you can do with Apache Spark. Instructor Ben Sullins shows you how to set up Spark on Databricks. Ben goes over how to import your data and start working with it, using both Python and SQL languages in Spark. He steps through taking your project to the next level with some easy data visualizations. After explaining some tips and tricks to present your data using Spark, Ben concludes with some additional resources that you can use to pursue your data science journey.
<br><br>
Note: This course was created by Ben Sullins and Free the Data Academy. We are pleased to host this training in our library.",Course,2023-09-20 04:19 UTC,N/A,false,N/A,
HTML and CSS: Linking,"Hyperlinks are the foundation of the World Wide Web, but they come in many different flavors.  Do you want to link to a specific point in a document?  Make a phone call, or send an email?  Link from images or dedicated navigation bars instead of text?  In this course, instructor Jen Kramer gives you all the tools you need to make those tasks easy. Jen goes over basic links, linking to different files and resources, and linking from images, headers, text, and more. She shows you how you can style links and individual link states using CSS selectors, then goes into how you can make exceptions and create different styles. Jen covers the steps you should take to maintain links and redirect them when necessary.",Course,N/A,N/A,true,N/A,
Advanced CSS Media Queries,"While most web developers have encountered media queries as part of their work on responsive layouts, media queries offer many more options than just the size of the viewport. In this course, instructor Jen Kramer explores some of the latest and greatest media query options available to Chrome, Firefox, Edge, and Safari. Learn how to test for different styles of interaction, determine how devices are held, figure out what resolution they have, and combine these options to build better sites and apps. Jen also covers complex media queries using and, not, and comma-separated conditions. Plus, she shows you how to keep these choices from breaking your projects in older devices.",Course,N/A,N/A,true,N/A,
Developing for Web Performance,"<div><a href=""https://www.linkedin.com/newsletters/6780173704283475968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Morten's LinkedIn Newsletter</a></div><br>Performance matters! Faster websites have been shown to increase visitor retention, loyalty, and satisfaction, especially on mobile. In this course, discover how to develop websites and applications with performance in mind. Since the cause of most slowdowns is the communication between the browser and the server—the realm of HTTP—senior staff instructor Morten Rand-Hendriksen goes over the HTTP/2 protocol, which offers web developers huge performance enhancements. Morten then covers how to keep your team focused on performance by creating a realistic performance budget. He explains how to optimize images (one of the biggest resource hogs), code, and file caching, as well as server delivery and browser handling. Plus, learn how to optimize CSS and JavaScript and use a content delivery network to speed up download times. Upon wrapping up this course, you'll have the basic knowledge you need to develop websites and apps that thrive in the age of the lightning-fast web.",Course,N/A,N/A,true,N/A,
CSS: Print Style Sheets,"CSS makes it easy to create compelling online experiences, but style sheets also work for pages off the screen. The need for print persists and site developers should know how to create not just workable but appealing print results. Learn why print style sheets are important and how they can help improve the user experience for your website, in this course with veteran web designer and teacher Jen Kramer. Jen explains how to create and link CSS via an external print style sheet or a print-based media query. She then shows how to use standard best practices to optimize page layouts for print vs. screen, including hiding and showing content exclusive to each media type. Plus, learn how to take your print page formatting to the next level using the CSS paged media and fragmentations specifications, which allow you to set page breaks, adjust margins, and control the formatting and layout of text.",Course,N/A,N/A,true,N/A,
Learning Functional Programming with JavaScript ES6+,"Want to write more robust, maintainable code? In this course, discover how this can be accomplished with functional programming, and learn about the functional concepts at the heart of many JavaScript frameworks and programs. Shaun Wassell begins by explaining what functional programming is and how it compares to object-oriented programming. Shaun then covers the basics of working with first-class functions in JavaScript ES6+, discussing concepts such as higher-order functions and closure. He also shows how functional programming makes working with data structures more straightforward; dives into advanced concepts, including partial application and recursion; and provides challenges that can help you test your understanding of key functional programming concepts.",Course,N/A,N/A,true,N/A,
Workflow Tools for Web Developers (2016),"Web developers don't have to do everything by hand. There are many tools and frameworks that can make your workflow more productive and efficient—helping you code faster and cleaner than before. Christina Truong introduces browser tools for analyzing and testing your code; text editors that help you write it; and shortcuts and tools for automating repetitive web dev tasks. Plus, learn how version control systems like Git actually help save you time, in addition to saving you from mistakes. Get an overview of the pros and cons of each tool as well as examples, tips, and guidance for evaluating which ones will work best for you.",Course,N/A,N/A,true,N/A,
CISSP Cert Prep (2021): 6 Security Assessment and Testing,"Are you getting ready for the Certified Information Systems Security Professional (CISSP) exam, or are you perhaps an experienced information security professional who wants to learn more about security assessment and testing? In this course, instructor Mike Chapple provides you with the detailed information you need to prepare for the Security Assessment and Testing domain of the 2021 CISSP exam. Mike explains information security and risk management practices, especially the practices you need to complete the CISSP exam.  He covers security governance, compliance, and policy issues. Mike discusses business continuity, personnel security, threat modeling, vendor management, and security training and awareness topics.",Course,2022-09-21 08:34 UTC,N/A,false,N/A,
Building Web APIs with ASP.NET Core in .NET,"Web APIs drive the most popular web and mobile apps, as well as internet-enabled devices ranging from fridges to phones. Curious about how to build a web API of your own? In this course, instructor Christian Wenz shows you how to get started, taking you step by step through the process of building a web API with ASP.NET Core 6, the open-source framework for Windows, macOS, and Linux. Christian explains how routing works and how data is modeled in ASP.NET Core. He provides coverage of Entity Framework Core to help you grasp how data models in your projects connect to underlying databases, explains HTTP verbs like CRUD operations, and more.",Course,2023-10-04 07:44 UTC,N/A,false,N/A,
React.js: Building an Interface,"React is a JavaScript library with reusable components and a unique data rendering approach. Web interfaces that you create with React are flexible, fast, and lightweight. In this course, instructor Ray Villalobos reviews component architecture in React and covers key skills that you need to be able to build interfaces. Ray steps through how to install React and get started with components, debugging, and variables. He explains how you can pass data to a component, use the useState hook and conditional classes, and toggle items by passing the state to a sub-component and using values to hide or show sub-components. Ray describes how you can delete records, search with a filtered array, set up a sort, and more. He shows how you can finish up your application by creating the code for adding appointments.",Course,2022-02-15 07:35 UTC,N/A,true,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-11-21 06:10 UTC,N/A,false,N/A,
Windows 10 for IT Support: Advanced Troubleshooting,"If you work in IT supporting Windows 10, you have an excellent mastery of the basics. In this course, instructor Brien Posey helps you take your understanding to the next level. Brien explains common causes of service failure and how to fix them. He also guides you through steps to take in network troubleshooting, then shows you how to troubleshoot logins. Brien goes over tools and techniques you can use to troubleshoot system updates and integrity. Plus, he covers ways you can improve devices’ performance and dives into what you can do when the blue screen of death appears.",Course,2023-01-31 14:09 UTC,N/A,false,N/A,
How to Develop your Career Plan,"Creating a career plan is vital. Wherever you're going, you'll arrive faster—and encounter less stress along the way—if you have a plan in place. In this concise course, instructor Aimee Bateman steps through how to create an effective career plan that brings you one step closer to your dream job. Learn how to design and implement your career plan, create a personal development plan (PDP), set achievable goals, and connect with a mentor.",Course,2022-04-25 18:13 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-07-22 17:09 UTC,N/A,false,N/A,
JavaScript: Maps and Sets,"Programming languages are always evolving and changing, and JavaScript is no exception. Over time, JavaScript has grown, and many new aspects have been added, including maps and sets. JavaScript maps and sets may sound simple, but they aren't quite the same as their counterparts in other programming languages. In this course, software engineer Jamie Pittman covers the ins and outs of JavaScript maps and sets, their syntax, how they work, and how to integrate them into your daily coding practice. Topics covered include a general overview of these features, when and where to use them, their WeakMap and WeakSet versions, and the various methods and properties associated with them.",Course,2023-04-19 07:37 UTC,N/A,false,N/A,
Learning Spring with Spring Boot (2019),"Spring is the hugely popular framework for developing Java applications in the enterprise space. In this course, discover how to leverage Spring Boot, which takes an opinionated view of the Spring platform. Follow Frank Moley as he walks through how to use Spring Boot to quickly and efficiently develop a practical, enterprise-style web application. As Frank explains how to develop the app, he helps to familiarize you with the general Spring framework. Plus, Frank dives into some of the basic projects of Spring that you can use to develop Java-based applications.",Course,2021-07-14 05:00 UTC,N/A,false,N/A,
Arduino: Prototyping,"For designers and product managers, the Arduino family of microcontrollers and easy-to-assemble components is a valuable tool for exploring and evaluating hardware product designs. Rapid, incremental prototypes can help improve outcomes and reduce cost and time in the design process. In this course, instructor Robert Gallup helps you go beyond the basics and learn what it takes to develop Arduino-based prototypes. Robert begins by providing an overview of the prototype development process, highlighting both best practices and potential pitfalls. He then steps through how to develop and refine a proof-of-concept prototype, introducing relevant concepts and techniques along the way. After this course, you'll be ready to tackle your own hardware prototyping using Arduino. <br>
Robert also includes several hands-on challenges with solutions to help you better understand the LCD, animation dynamics, and the final process of completing your prototype and modifying it in response to feedback.",Course,2021-06-29 06:41 UTC,N/A,false,N/A,
Agile Software Development: Code Quality,"Code quality is important to every developer. Poorly written software can cost you customers, time, and money. This course introduces best practices and tools for writing high-quality code, so you can deliver better products, get updates to market faster, and reduce your overall technical debt. Instructor Scott Ford introduces platform-agnostic tools that will help improve any software project. Learn how to reduce complexity with CodeClimate, analyze hotspots and churn with CodeScene, ensure adequate code coverage with NDepend, and reduce duplication with SonarQube. Plus, find out how to use Snyk to secure dependencies and build a more consistent coding style with HoundCI. By the end, you’ll have the tools and skills you need to create cleaner code—and programs that are easier to debug, run, and maintain.",Course,2021-11-30 07:57 UTC,N/A,false,N/A,
C++ Essential Training (2020),"Learn C++ programming, starting with the basics. Widely used for both systems and applications development, C++ is available for virtually every operating system and has influenced and informed many derivative languages, including C# and Java. In this course, Bill Weinman guides you through the nuts and bolts of this essential language. He helps you set up your environment for coding and dissects the anatomy of a basic C++ program. He reviews the essentials—statements and expressions, variables, conditionals, operators, loops, and functions—and moves on to more complex topics, such as data structures, classes and objects, and templates. Along the way, Bill explains concepts such as recursion, type casting, and operator overloads, and dives into the powerful container classes and algorithms in Standard Template Library (STL). These exhaustive tutorials provide a solid C++ reference for both experienced programmers and those who are brand new to the language.",Course,2021-03-04 13:46 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-11-08 15:47 UTC,N/A,false,N/A,
PHP Essential Training,"PHP is a popular programming language that you can use to write simple code for web pages. If you have been using HTML to develop websites, learning PHP will allow you to create dynamic pages. In this course, learn the fundamentals of PHP. Kevin Skoglund covers concepts such as how to embed PHP code into an HTML page, and reviews the basic PHP data types such as strings and arrays. He also covers the different control structures in PHP, how to work with built-in PHP functions, and how to define your own custom functions.",Course,2022-05-19 11:30 UTC,N/A,false,N/A,
Learning MongoDB (2020),"Excelling in an ever-changing software development world requires true ""full stack"" experience. Knowledge of nonrelational databases in particular adds exciting new capabilities and features that make everyday development easier, more streamlined, and vastly more scalable. This course provides an introduction to using MongoDB, one of the most popular nonrelational databases. Discover how to create documents to store data, organize documents in collections, and write queries to read, update, and delete documents. Instructor Justin Jenkins also shows how to properly index data to increase performance in MongoDB, and then shows how MongoDB can be integrated with applications written in Python, Node.js, and PHP. In the final chapter, he covers basic server administration, including replication, sharding, security, and backups. Make sure to practice your newfound MongoDB skills using the challenge and solution sets issued along the way.",Course,2021-12-21 05:21 UTC,N/A,true,N/A,
Excel Essential Training (Microsoft 365) (2018),"Get up to speed with Microsoft Excel, the world's most popular spreadsheet program. Follow along with Excel expert Dennis Taylor as he demonstrates how to efficiently manage and analyze data with this powerful program. Learn how to enter and organize data, perform calculations with simple functions, and format the appearance of rows, columns, cells, and data. Other lessons cover how to work with multiple worksheets, build charts and PivotTables, sort and filter data, use the printing capabilities of Excel, and more.",Course,2022-10-03 05:44 UTC,N/A,false,N/A,
Learning PCB Design with OrCAD,"Designing printed circuit boards (PCBs)—which help to power nearly all electronic devices—requires both sound reasoning and creative thinking. In this course, Kirsch Mackey steps through this process, demonstrating how to design and output a PCB using OrCAD (also known as Allegro), the industry-leading software used by many of the world's top electronic and consumer device manufacturers. Kirsch steps through how to work with both OrCAD Capture and PCB Editor to bring your project to the finish line, helping you become familiar with the electronic board development workflow along the way. Learn how to create electronic schematics, lay out your circuits on printed circuit boards, and generate manufacturing files and PCB documentation.",Course,2022-01-28 04:58 UTC,N/A,false,N/A,
Expert Tips for Answering Common Interview Questions,"There are certain questions that interviewers volley at nearly all interviewees—regardless of the position or industry—in an attempt to get a read on their personality and potential. Whether you're vying for a gig as an IT specialist or sales manager, you'll likely be asked about your strengths and weaknesses, your leadership style, and other basic professional attributes. In this collection of bite-sized videos, get expert tips that can help you confidently tackle these and other common questions—and, ultimately, ace your next job interview. Plus, get insights on how to dress for your interview, project confidence with your body language, negotiate your salary, and more.",Course,2022-03-18 12:34 UTC,N/A,false,N/A,
React.js Essential Training,"Among all other JavaScript libraries, React.js stands out. It relies on reusable components, not templates, for UI development, allowing developers to render views where data changes over time. React applications are more scalable and more maintainable, making developers more efficient and users more satisfied. In this course, Eve Porcello introduces the basics of the React library using the most modern syntax and best practices for creating React components. Along the way, learn how to set up Chrome tools for React; create new components; work with the built-in Hooks in React; use the Create React App to run tests, and more. By the end of the course, you'll be armed with the essentials of React.js and better prepared to build your own browser-based projects.",Course,2023-07-28 15:22 UTC,N/A,false,N/A,
What is Graphic Design?,"Are you curious about what graphic design really is? This video defines graphic design, so you can understand its purpose and what it accomplishes. Learn how design is used to convey ideas and concepts, and to enhance interactive experiences. Discover the impact that strong visual communication has on individuals, businesses, and the world. Then, get ready to explore courses that will help you build graphic design skills.",Course,2020-09-17 07:20 UTC,2020-09-17 07:19 UTC,false,N/A,
Python Object-Oriented Programming (2020),"The object-oriented programming (OOP) features in Python make it easier to build programs of increasing complexity and modularity. In this course, you can learn how to apply core OOP principles like inheritance and composition along with some Python-specific features like “magic” methods and data classes to build programs that are extensible and efficient. Begin by brushing up on some object-oriented basics, and then use Python features like magic methods to make your classes integrate tightly with the Python language and data classes to dramatically reduce the amount of boilerplate code needed to build data-centric objects.",Course,2021-05-30 15:00 UTC,N/A,true,N/A,
AWS Certified Cloud Practitioner (CLF-C01) Cert Prep: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, including finance teams, project managers, and marketers, make the best use of AWS. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.<br/><br/>Note: This course also maps to the first domain of the AWS Certified Cloud Practitioner exam. Taking all four courses in the <i>Introduction to AWS for Non-Engineers</i> series will help you prepare for the exam.",Course,2022-04-13 07:15 UTC,N/A,false,N/A,
Node.js Essential Training (2019),"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud. In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Alex Banks acquaints you with all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2020-12-31 05:06 UTC,N/A,false,N/A,
"C: Data Structures, Pointers, and File Systems","C is a foundational language for a variety of other programming languages, as well as an up-and-coming language for embedded systems. If you’re interested in broadening your knowledge of C, then this course is for you. Join instructor Dan Gookin as he takes a deep dive into data structures, pointers, and other key topics in this essential programming language. Dan digs into a variety of programming concepts such as arrays, structures, characters, and strings. He also goes over pointers—variables that hold a memory location—explaining how to use pointers to manipulate data, do pointer math, and more. He wraps up the course by sharing a few special techniques, including how to solve math puzzles with C.",Course,N/A,N/A,true,N/A,
Succeeding in Web Development: Full Stack and Front End,"Do you want to become a web developer? Nowadays, web development isn't one job. There is a range of technologies and career options to explore. The core responsibilities are split two ways—between front-end developers who specialize in websites and applications and back-end developers who work with servers and databases—but you can also become a full-stack developer who oversees all aspects of a project. This course provides a map of the core technologies and advice about mastering them, complemented with the details you need to connect them to jobs. Senior staff author Ray Villalobos also provides tips on finding training, getting hired, and maximizing your earning potential in this lucrative and exciting field.",Course,2022-09-08 16:29 UTC,N/A,false,N/A,
Learning the JavaScript Language (2019),"JavaScript is the lingua franca of the web, but before using it to create dynamic websites, you need to understand how it works. In this course, Joe Chellman explores the syntax behind the JavaScript language. He shows how to ""speak"" JavaScript by gaining an understanding of variables, types, objects, arrays, operators, control structures, loops, and functions, through a series of hands-on examples that put these ideas into action. After completing this course, most developers will grasp the core syntax of JavaScript and how this scripting language works to build powerful and complex functionality on the web.",Course,2022-01-17 18:16 UTC,N/A,false,N/A,
Responsive Layout,"Responsive design demands that websites adapt to the device they are displayed on. Responsive layout is key, and HTML and CSS now offer features that make it easier than ever to create layouts that will work well on a wide range of devices and screen sizes. In this course, Clarissa Peterson covers the basics of designing responsive website layouts with the latest standards, including CSS Flexbox and Grid. Review the basics, such as working with the position and float properties to adjust the location of elements on screen, and discover how to use media queries to proactively update your layout. Then dive into CSS Grid, including aligning and ordering items within the grid, and find out to work flexbox containers. Finally, learn to build a 12-column design that combines Grid and Flexbox in one layout.",Course,2022-02-01 10:27 UTC,N/A,true,N/A,
Graphic Design Tips & Tricks,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6507615734686892032?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Art and Design Newsletter</a></div><br>John McWade, founder of <i>Before & After</i> and former senior staff author at LinkedIn Learning, presents a series that touches on all areas of design, helping designers new and old sharpen their skills and create more powerful work. This series covers a wide range of topics, from typography and layout to color and logo design, but each episode is a standalone technique that can be completed in just ten minutes or less.",Course,2021-01-26 12:00 UTC,N/A,false,N/A,
React Hooks,"React Hooks embed logic into functions in new React applications. In this course, instructor Eve Porcello covers various styles of Hooks usage and ways to integrate them into your programming workflow. She tells you how Hooks came to be part of the library, then walks you through how to install Create React App. Eve covers how you can use the useState Hook to handle different types of state variables and work with component trees. The useEffect Hook can be used for several application side effects, whenever the state of the app changes. Eve teaches you how to work with the dependency array effect and fetch data with the useEffect Hook. Next, she explains several additional Hooks and steps through the process of creating custom Hooks. In conclusion, Eve shows you some different directions you can pursue to improve your knowledge of the React ecosystem.",Course,2021-12-01 07:36 UTC,N/A,false,N/A,
High-Stakes Communication,"Imagine you’re in a room with a group of stakeholders, each of whom has the power to alter the course of your professional life. If you impress them, they’ll fund your project and champion you as a leader. If you falter, you’ll exit the room with a tarnished reputation. Are you prepared to handle a moment like this, even when it is unexpected? How do you set yourself up for success when so much is on the line? In this course, Jenna Lange shares techniques that can help you manage your message, your mindset, and your stakeholders when the stakes are high. Learn how to build concise, effective messages, manage your body language, avoid common pitfalls, and more. Along the way, Jenna shares case studies and surprising personal experiences that lend a real-world context to each concept.",Course,2021-12-29 17:16 UTC,N/A,false,N/A,
AWS Certified Data Analytics – Specialty (DAS-C01) Cert Prep: 4 Analysis and Visualization,"The AWS Certified Data Analytics credential helps organizations identify and develop talent with critical skills for implementing cloud initiatives. Earning AWS Certified Data Analytics – Specialty certification validates expertise in using AWS data lakes and analytics services to get insights from data. In this course, Noah Gift focuses on the fourth domain of the exam: Analysis and Visualization. Join Noah as he shows you how to: determine the operational characteristics of the analysis and visualization solution; select the appropriate data analysis solution for a given scenario; and select the appropriate data visualization solution for a given scenario.",Course,2023-10-11 07:56 UTC,N/A,false,N/A,
C Programming for Embedded Applications,"<p>From medical devices to a car’s dashboard to a video game controller, embedded systems are all around us. Learning to write embedded software in C will help you deliver applications that are small, efficient, and fast. </p>
<p>
In this course, instructor Eduardo Corpeño explains how C programming and the Internet of Things combine in embedded applications—software that permanently resides on a device—and demonstrates the challenges unique to this type of programming, ranging from memory, storage, and power limitations to hardware awareness.",Course,2022-07-30 05:32 UTC,N/A,false,N/A,
Python Data Structures and Algorithms,"Software developers know that efficient underlying architecture is essential to the technologies we use every day. Knowledge of data structures and the algorithms which they support helps developers choose the most suitable solution for a given context, making them better programmers who stand out to their company, clients, or prospective employers. In this course, leveraging the Python programming language, instructor Robin Andrews uses a combo of visual, theoretical, and hands-on programming approaches to explain concepts in a fun and accessible way. Robin explains some of the most important data structures such as stacks, queues, and priority queues, and how these are used by search algorithms such as depth-first search, breadth-first search, and the A-star (A*) algorithm. He shows how to trace the execution of algorithms. Along the way, he provides challenges that allow you to test your new skills.",Course,2021-02-19 07:38 UTC,N/A,false,N/A,
JavaScript Essential Training,"JavaScript is a scripting language of the web. As the web evolves from a static to a dynamic environment, technology focus is shifting from static markup and styling to dynamic interfaces and advanced interaction. Once seen as optional, JavaScript is now becoming an integral part of the web, infusing every layer with its script.</p><p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills. Instructor Morten Rand-Hendriksen helps you build your understanding of JavaScript piece by piece, from core principles like variables, data types, conditionals, and functions through advanced topics including loops, and DOM scripting. </p>",Course,2021-09-22 05:01 UTC,N/A,false,N/A,
Java Object-Oriented Programming,"Are you familiar with Java but want to get the most out of your Java programs? In this course, Kathryn Hodge teaches the basics of object-oriented programming in Java, so you can write code that’s secure, scalable, and easier to troubleshoot. Kathryn begins by showing how object-oriented principles are embedded into the Java language from the first code file you create. She looks at how classes, instances, and constructors embody the idea of representing real-life objects in code. Kathryn not only shows how to apply object-oriented principles in your own programs, but also explains how Java leverages these principles behind the scenes. While many resources about object-oriented programming focus on abstract examples, the goal of this course is to get away from the abstract and focus more on practical examples of these principles in Java. Along with deep dives into the source code, this course also provides several challenges and solutions to help you apply what you’ve learned.",Course,2023-03-19 14:54 UTC,N/A,false,N/A,
C++ Templates and the STL,"C++ templates support generic programming, code that works independent of type. The C++ Standard Template Library (STL) is one of the most complete and powerful container libraries available. Having a solid grasp of both C++ templates and the STL is essential for programmers looking to attain competency in C++. In this course, the second in a series focused on C++ essentials, instructor Bill Weinman dives into both of these fundamental topics. To begin, he covers templates, discussing template syntax, template functions and classes, and argument deduction. He then builds on that knowledge to discuss STL containers, iterators, transformations, functions, and algorithms.",Course,2020-12-18 06:55 UTC,N/A,false,N/A,
